Meter ID          ,Date / Time           ,KWH(ch: 1  set:0)    ,KVARH(ch: 2  set:0)  ,KVAH(ch: 2  set:0)   ,PF(ch: 3  set:0)     ,KW(ch: 1  set:0)    ,KVAR(ch: 2  set:0)  ,KVA(0(ch: 2  set:0) ,PF(0(ch: 3  set:0)  ,, PV 17.7 kW
H202014127676     ,2017/10/01 0:15,36.67,,,,146.69,,,,,10/1/17 0:15,0.08
H202014127676     ,2017/10/01 0:30,36.64,,,,146.56,,,,,10/1/17 0:30,0.08
H202014127676     ,2017/10/01 0:45,36.64,,,,146.56,,,,,10/1/17 0:45,0.08
H202014127676     ,2017/10/01 1:00,36.67,,,,146.69,,,,,10/1/17 1:00,0.08
H202014127676     ,2017/10/01 1:15,36.9,,,,147.58,,,,,10/1/17 1:15,0.09
H202014127676     ,2017/10/01 1:30,37.02,,,,148.1,,,,,10/1/17 1:30,0.09
H202014127676     ,2017/10/01 1:45,37.57,,,,150.27,,,,,10/1/17 1:45,0.09
H202014127676     ,2017/10/01 2:00,37.5,,,,150.02,,,,,10/1/17 2:00,0.09
H202014127676     ,2017/10/01 2:15,37.63,,,,150.53,,,,,10/1/17 2:15,0.09
H202014127676     ,2017/10/01 2:30,37.54,,,,150.14,,,,,10/1/17 2:30,0.1
H202014127676     ,2017/10/01 2:45,37.54,,,,150.14,,,,,10/1/17 2:45,0.1
H202014127676     ,2017/10/01 3:00,37.06,,,,148.22,,,,,10/1/17 3:00,0.1
H202014127676     ,2017/10/01 3:15,36.9,,,,147.58,,,,,10/1/17 3:15,0.1
H202014127676     ,2017/10/01 3:30,36.83,,,,147.33,,,,,10/1/17 3:30,0.11
H202014127676     ,2017/10/01 3:45,36.42,,,,145.66,,,,,10/1/17 3:45,0.11
H202014127676     ,2017/10/01 4:00,36.54,,,,146.18,,,,,10/1/17 4:00,0.11
H202014127676     ,2017/10/01 4:15,36.61,,,,146.43,,,,,10/1/17 4:15,0.11
H202014127676     ,2017/10/01 4:30,36.93,,,,147.71,,,,,10/1/17 4:30,0.12
H202014127676     ,2017/10/01 4:45,37.09,,,,148.35,,,,,10/1/17 4:45,0.12
H202014127676     ,2017/10/01 5:00,37.09,,,,148.35,,,,,10/1/17 5:00,0.12
H202014127676     ,2017/10/01 5:15,37.02,,,,148.1,,,,,10/1/17 5:15,0.12
H202014127676     ,2017/10/01 5:30,37.09,,,,148.35,,,,,10/1/17 5:30,0.12
H202014127676     ,2017/10/01 5:45,37.31,,,,149.25,,,,,10/1/17 5:45,0.13
H202014127676     ,2017/10/01 6:00,44.29,,,,177.15,,,,,10/1/17 6:00,0.13
H202014127676     ,2017/10/01 6:15,39.1,,,,156.42,,,,,10/1/17 6:15,0.13
H202014127676     ,2017/10/01 6:30,40.77,,,,163.07,,,,,10/1/17 6:30,0.13
H202014127676     ,2017/10/01 6:45,38.4,,,,153.6,,,,,10/1/17 6:45,0.14
H202014127676     ,2017/10/01 7:00,37.92,,,,151.68,,,,,10/1/17 7:00,0.2
H202014127676     ,2017/10/01 7:15,37.92,,,,151.68,,,,,10/1/17 7:15,0.8
H202014127676     ,2017/10/01 7:30,38.05,,,,152.19,,,,,10/1/17 7:30,1.52
H202014127676     ,2017/10/01 7:45,38.08,,,,152.32,,,,,10/1/17 7:45,2.35
H202014127676     ,2017/10/01 8:00,39.36,,,,157.44,,,,,10/1/17 8:00,3.3
H202014127676     ,2017/10/01 8:15,38.72,,,,154.88,,,,,10/1/17 8:15,4.33
H202014127676     ,2017/10/01 8:30,38.82,,,,155.26,,,,,10/1/17 8:30,5.26
H202014127676     ,2017/10/01 8:45,39.14,,,,156.54,,,,,10/1/17 8:45,6.23
H202014127676     ,2017/10/01 9:00,39.3,,,,157.18,,,,,10/1/17 9:00,7.11
H202014127676     ,2017/10/01 9:15,38.56,,,,154.24,,,,,10/1/17 9:15,7.97
H202014127676     ,2017/10/01 9:30,38.72,,,,154.88,,,,,10/1/17 9:30,8.73
H202014127676     ,2017/10/01 9:45,36.74,,,,146.94,,,,,10/1/17 9:45,9.34
H202014127676     ,2017/10/01 10:00,37.31,,,,149.25,,,,,10/1/17 10:00,9.97
H202014127676     ,2017/10/01 10:15,36.86,,,,147.46,,,,,10/1/17 10:15,10.53
H202014127676     ,2017/10/01 10:30,37.06,,,,148.22,,,,,10/1/17 10:30,11.01
H202014127676     ,2017/10/01 10:45,36.86,,,,147.46,,,,,10/1/17 10:45,11.57
H202014127676     ,2017/10/01 11:00,36.8,,,,147.2,,,,,10/1/17 11:00,12.01
H202014127676     ,2017/10/01 11:15,36.51,,,,146.05,,,,,10/1/17 11:15,12.3
H202014127676     ,2017/10/01 11:30,36.29,,,,145.15,,,,,10/1/17 11:30,12.65
H202014127676     ,2017/10/01 11:45,36.16,,,,144.64,,,,,10/1/17 11:45,12.88
H202014127676     ,2017/10/01 12:00,36.42,,,,145.66,,,,,10/1/17 12:00,13.02
H202014127676     ,2017/10/01 12:15,36.35,,,,145.41,,,,,10/1/17 12:15,12.68
H202014127676     ,2017/10/01 12:30,36.54,,,,146.18,,,,,10/1/17 12:30,13.78
H202014127676     ,2017/10/01 12:45,36.58,,,,146.3,,,,,10/1/17 12:45,12.13
H202014127676     ,2017/10/01 13:00,37.18,,,,148.74,,,,,10/1/17 13:00,6.62
H202014127676     ,2017/10/01 13:15,38.4,,,,153.6,,,,,10/1/17 13:15,9.48
H202014127676     ,2017/10/01 13:30,38.43,,,,153.73,,,,,10/1/17 13:30,6.2
H202014127676     ,2017/10/01 13:45,37.76,,,,151.04,,,,,10/1/17 13:45,12.61
H202014127676     ,2017/10/01 14:00,38.75,,,,155.01,,,,,10/1/17 14:00,5.06
H202014127676     ,2017/10/01 14:15,38.3,,,,153.22,,,,,10/1/17 14:15,2.8
H202014127676     ,2017/10/01 14:30,38.94,,,,155.78,,,,,10/1/17 14:30,3.17
H202014127676     ,2017/10/01 14:45,39.62,,,,158.46,,,,,10/1/17 14:45,3.84
H202014127676     ,2017/10/01 15:00,39.04,,,,156.16,,,,,10/1/17 15:00,3.64
H202014127676     ,2017/10/01 15:15,38.94,,,,155.78,,,,,10/1/17 15:15,3.03
H202014127676     ,2017/10/01 15:30,38.72,,,,154.88,,,,,10/1/17 15:30,3.24
H202014127676     ,2017/10/01 15:45,38.37,,,,153.47,,,,,10/1/17 15:45,1.3
H202014127676     ,2017/10/01 16:00,38.27,,,,153.09,,,,,10/1/17 16:00,1.06
H202014127676     ,2017/10/01 16:15,38.27,,,,153.09,,,,,10/1/17 16:15,0.85
H202014127676     ,2017/10/01 16:30,38.11,,,,152.45,,,,,10/1/17 16:30,0.93
H202014127676     ,2017/10/01 16:45,38.08,,,,152.32,,,,,10/1/17 16:45,1.06
H202014127676     ,2017/10/01 17:00,38.02,,,,152.06,,,,,10/1/17 17:00,0.91
H202014127676     ,2017/10/01 17:15,37.92,,,,151.68,,,,,10/1/17 17:15,0.52
H202014127676     ,2017/10/01 17:30,37.86,,,,151.42,,,,,10/1/17 17:30,0.41
H202014127676     ,2017/10/01 17:45,37.82,,,,151.3,,,,,10/1/17 17:45,0.37
H202014127676     ,2017/10/01 18:00,37.63,,,,150.53,,,,,10/1/17 18:00,0.17
H202014127676     ,2017/10/01 18:15,37.89,,,,151.55,,,,,10/1/17 18:15,0.02
H202014127676     ,2017/10/01 18:30,37.73,,,,150.91,,,,,10/1/17 18:30,0.02
H202014127676     ,2017/10/01 18:45,37.5,,,,150.02,,,,,10/1/17 18:45,0.03
H202014127676     ,2017/10/01 19:00,37.41,,,,149.63,,,,,10/1/17 19:00,0.03
H202014127676     ,2017/10/01 19:15,37.44,,,,149.76,,,,,10/1/17 19:15,0.03
H202014127676     ,2017/10/01 19:30,37.6,,,,150.4,,,,,10/1/17 19:30,0.03
H202014127676     ,2017/10/01 19:45,38.21,,,,152.83,,,,,10/1/17 19:45,0.03
H202014127676     ,2017/10/01 20:00,38.05,,,,152.19,,,,,10/1/17 20:00,0.03
H202014127676     ,2017/10/01 20:15,38.08,,,,152.32,,,,,10/1/17 20:15,0.03
H202014127676     ,2017/10/01 20:30,37.57,,,,150.27,,,,,10/1/17 20:30,0.04
H202014127676     ,2017/10/01 20:45,37.6,,,,150.4,,,,,10/1/17 20:45,0.04
H202014127676     ,2017/10/01 21:00,37.47,,,,149.89,,,,,10/1/17 21:00,0.04
H202014127676     ,2017/10/01 21:15,37.41,,,,149.63,,,,,10/1/17 21:15,0.04
H202014127676     ,2017/10/01 21:30,37.02,,,,148.1,,,,,10/1/17 21:30,0.04
H202014127676     ,2017/10/01 21:45,36.99,,,,147.97,,,,,10/1/17 21:45,0.04
H202014127676     ,2017/10/01 22:00,37.28,,,,149.12,,,,,10/1/17 22:00,0.04
H202014127676     ,2017/10/01 22:15,37.54,,,,150.14,,,,,10/1/17 22:15,0.05
H202014127676     ,2017/10/01 22:30,37.47,,,,149.89,,,,,10/1/17 22:30,0.05
H202014127676     ,2017/10/01 22:45,37.63,,,,150.53,,,,,10/1/17 22:45,0.05
H202014127676     ,2017/10/01 23:00,37.34,,,,149.38,,,,,10/1/17 23:00,0.05
H202014127676     ,2017/10/01 23:15,37.44,,,,149.76,,,,,10/1/17 23:15,0.05
H202014127676     ,2017/10/01 23:30,37.6,,,,150.4,,,,,10/1/17 23:30,0.05
H202014127676     ,2017/10/01 23:45,37.06,,,,148.22,,,,,10/1/17 23:45,0.06
H202014127676     ,2017/10/02 0:00,36.93,,,,147.71,,,,,10/2/17 0:00,0.06
H202014127676     ,2017/10/02 0:15,36.83,,,,147.33,,,,,10/2/17 0:15,0.06
H202014127676     ,2017/10/02 0:30,36.93,,,,147.71,,,,,10/2/17 0:30,0.06
H202014127676     ,2017/10/02 0:45,37.38,,,,149.5,,,,,10/2/17 0:45,0.06
H202014127676     ,2017/10/02 1:00,37.34,,,,149.38,,,,,10/2/17 1:00,0.06
H202014127676     ,2017/10/02 1:15,37.41,,,,149.63,,,,,10/2/17 1:15,0.06
H202014127676     ,2017/10/02 1:30,37.15,,,,148.61,,,,,10/2/17 1:30,0.07
H202014127676     ,2017/10/02 1:45,36.99,,,,147.97,,,,,10/2/17 1:45,0.07
H202014127676     ,2017/10/02 2:00,37.28,,,,149.12,,,,,10/2/17 2:00,0.07
H202014127676     ,2017/10/02 2:15,37.22,,,,148.86,,,,,10/2/17 2:15,0.07
H202014127676     ,2017/10/02 2:30,36.51,,,,146.05,,,,,10/2/17 2:30,0.07
H202014127676     ,2017/10/02 2:45,36.7,,,,146.82,,,,,10/2/17 2:45,0.07
H202014127676     ,2017/10/02 3:00,36.45,,,,145.79,,,,,10/2/17 3:00,0.07
H202014127676     ,2017/10/02 3:15,36.42,,,,145.66,,,,,10/2/17 3:15,0.08
H202014127676     ,2017/10/02 3:30,36.7,,,,146.82,,,,,10/2/17 3:30,0.08
H202014127676     ,2017/10/02 3:45,36.61,,,,146.43,,,,,10/2/17 3:45,0.08
H202014127676     ,2017/10/02 4:00,36.7,,,,146.82,,,,,10/2/17 4:00,0.08
H202014127676     ,2017/10/02 4:15,36.67,,,,146.69,,,,,10/2/17 4:15,0.08
H202014127676     ,2017/10/02 4:30,36.32,,,,145.28,,,,,10/2/17 4:30,0.08
H202014127676     ,2017/10/02 4:45,36.54,,,,146.18,,,,,10/2/17 4:45,0.09
H202014127676     ,2017/10/02 5:00,36.42,,,,145.66,,,,,10/2/17 5:00,0.09
H202014127676     ,2017/10/02 5:15,36.38,,,,145.54,,,,,10/2/17 5:15,0.09
H202014127676     ,2017/10/02 5:30,36.48,,,,145.92,,,,,10/2/17 5:30,0.09
H202014127676     ,2017/10/02 5:45,36.99,,,,147.97,,,,,10/2/17 5:45,0.09
H202014127676     ,2017/10/02 6:00,37.18,,,,148.74,,,,,10/2/17 6:00,0.09
H202014127676     ,2017/10/02 6:15,41.47,,,,165.89,,,,,10/2/17 6:15,0.09
H202014127676     ,2017/10/02 6:30,44.26,,,,177.02,,,,,10/2/17 6:30,0.1
H202014127676     ,2017/10/02 6:45,42.24,,,,168.96,,,,,10/2/17 6:45,0.12
H202014127676     ,2017/10/02 7:00,39.23,,,,156.93,,,,,10/2/17 7:00,0.24
H202014127676     ,2017/10/02 7:15,39.1,,,,156.42,,,,,10/2/17 7:15,0.79
H202014127676     ,2017/10/02 7:30,38.4,,,,153.6,,,,,10/2/17 7:30,1.47
H202014127676     ,2017/10/02 7:45,36.99,,,,147.97,,,,,10/2/17 7:45,2.74
H202014127676     ,2017/10/02 8:00,38.14,,,,152.58,,,,,10/2/17 8:00,2.96
H202014127676     ,2017/10/02 8:15,38.46,,,,153.86,,,,,10/2/17 8:15,3.76
H202014127676     ,2017/10/02 8:30,38.37,,,,153.47,,,,,10/2/17 8:30,4.86
H202014127676     ,2017/10/02 8:45,37.89,,,,151.55,,,,,10/2/17 8:45,4.83
H202014127676     ,2017/10/02 9:00,37.31,,,,149.25,,,,,10/2/17 9:00,5.24
H202014127676     ,2017/10/02 9:15,37.47,,,,149.89,,,,,10/2/17 9:15,6.96
H202014127676     ,2017/10/02 9:30,37.34,,,,149.38,,,,,10/2/17 9:30,8.54
H202014127676     ,2017/10/02 9:45,37.54,,,,150.14,,,,,10/2/17 9:45,9.33
H202014127676     ,2017/10/02 10:00,36.74,,,,146.94,,,,,10/2/17 10:00,9.4
H202014127676     ,2017/10/02 10:15,36.96,,,,147.84,,,,,10/2/17 10:15,10.07
H202014127676     ,2017/10/02 10:30,37.12,,,,148.48,,,,,10/2/17 10:30,7.54
H202014127676     ,2017/10/02 10:45,36.83,,,,147.33,,,,,10/2/17 10:45,11.05
H202014127676     ,2017/10/02 11:00,36.48,,,,145.92,,,,,10/2/17 11:00,10.21
H202014127676     ,2017/10/02 11:15,37.44,,,,149.76,,,,,10/2/17 11:15,10.56
H202014127676     ,2017/10/02 11:30,37.98,,,,151.94,,,,,10/2/17 11:30,10.94
H202014127676     ,2017/10/02 11:45,37.95,,,,151.81,,,,,10/2/17 11:45,11.34
H202014127676     ,2017/10/02 12:00,38.08,,,,152.32,,,,,10/2/17 12:00,12.15
H202014127676     ,2017/10/02 12:15,37.57,,,,150.27,,,,,10/2/17 12:15,12.29
H202014127676     ,2017/10/02 12:30,37.79,,,,151.17,,,,,10/2/17 12:30,12.01
H202014127676     ,2017/10/02 12:45,38.08,,,,152.32,,,,,10/2/17 12:45,11.83
H202014127676     ,2017/10/02 13:00,37.44,,,,149.76,,,,,10/2/17 13:00,11.9
H202014127676     ,2017/10/02 13:15,37.22,,,,148.86,,,,,10/2/17 13:15,12.03
H202014127676     ,2017/10/02 13:30,37.92,,,,151.68,,,,,10/2/17 13:30,6.87
H202014127676     ,2017/10/02 13:45,38.66,,,,154.62,,,,,10/2/17 13:45,13.03
H202014127676     ,2017/10/02 14:00,37.5,,,,150.02,,,,,10/2/17 14:00,12.89
H202014127676     ,2017/10/02 14:15,37.54,,,,150.14,,,,,10/2/17 14:15,11.1
H202014127676     ,2017/10/02 14:30,37.41,,,,149.63,,,,,10/2/17 14:30,10.52
H202014127676     ,2017/10/02 14:45,37.38,,,,149.5,,,,,10/2/17 14:45,8.76
H202014127676     ,2017/10/02 15:00,36.93,,,,147.71,,,,,10/2/17 15:00,11.2
H202014127676     ,2017/10/02 15:15,37.02,,,,148.1,,,,,10/2/17 15:15,11.31
H202014127676     ,2017/10/02 15:30,38.5,,,,153.98,,,,,10/2/17 15:30,4.59
H202014127676     ,2017/10/02 15:45,39.36,,,,157.44,,,,,10/2/17 15:45,6.55
H202014127676     ,2017/10/02 16:00,39.55,,,,158.21,,,,,10/2/17 16:00,8.91
H202014127676     ,2017/10/02 16:15,39.42,,,,157.7,,,,,10/2/17 16:15,1.87
H202014127676     ,2017/10/02 16:30,39.46,,,,157.82,,,,,10/2/17 16:30,2.35
H202014127676     ,2017/10/02 16:45,39.14,,,,156.54,,,,,10/2/17 16:45,5.58
H202014127676     ,2017/10/02 17:00,39.14,,,,156.54,,,,,10/2/17 17:00,2.93
H202014127676     ,2017/10/02 17:15,39.1,,,,156.42,,,,,10/2/17 17:15,2.58
H202014127676     ,2017/10/02 17:30,38.91,,,,155.65,,,,,10/2/17 17:30,1.64
H202014127676     ,2017/10/02 17:45,38.98,,,,155.9,,,,,10/2/17 17:45,0.37
H202014127676     ,2017/10/02 18:00,38.24,,,,152.96,,,,,10/2/17 18:00,0.21
H202014127676     ,2017/10/02 18:15,38.11,,,,152.45,,,,,10/2/17 18:15,0.03
H202014127676     ,2017/10/02 18:30,38.05,,,,152.19,,,,,10/2/17 18:30,0.03
H202014127676     ,2017/10/02 18:45,38.46,,,,153.86,,,,,10/2/17 18:45,0.03
H202014127676     ,2017/10/02 19:00,37.92,,,,151.68,,,,,10/2/17 19:00,0.03
H202014127676     ,2017/10/02 19:15,37.82,,,,151.3,,,,,10/2/17 19:15,0.03
H202014127676     ,2017/10/02 19:30,37.95,,,,151.81,,,,,10/2/17 19:30,0.03
H202014127676     ,2017/10/02 19:45,37.76,,,,151.04,,,,,10/2/17 19:45,0.04
H202014127676     ,2017/10/02 20:00,37.76,,,,151.04,,,,,10/2/17 20:00,0.04
H202014127676     ,2017/10/02 20:15,37.66,,,,150.66,,,,,10/2/17 20:15,0.04
H202014127676     ,2017/10/02 20:30,37.82,,,,151.3,,,,,10/2/17 20:30,0.04
H202014127676     ,2017/10/02 20:45,37.76,,,,151.04,,,,,10/2/17 20:45,0.04
H202014127676     ,2017/10/02 21:00,37.31,,,,149.25,,,,,10/2/17 21:00,0.05
H202014127676     ,2017/10/02 21:15,37.7,,,,150.78,,,,,10/2/17 21:15,0.05
H202014127676     ,2017/10/02 21:30,38.4,,,,153.6,,,,,10/2/17 21:30,0.05
H202014127676     ,2017/10/02 21:45,37.95,,,,151.81,,,,,10/2/17 21:45,0.05
H202014127676     ,2017/10/02 22:00,38.18,,,,152.7,,,,,10/2/17 22:00,0.06
H202014127676     ,2017/10/02 22:15,37.86,,,,151.42,,,,,10/2/17 22:15,0.06
H202014127676     ,2017/10/02 22:30,38.02,,,,152.06,,,,,10/2/17 22:30,0.06
H202014127676     ,2017/10/02 22:45,37.98,,,,151.94,,,,,10/2/17 22:45,0.06
H202014127676     ,2017/10/02 23:00,37.31,,,,149.25,,,,,10/2/17 23:00,0.06
H202014127676     ,2017/10/02 23:15,37.5,,,,150.02,,,,,10/2/17 23:15,0.07
H202014127676     ,2017/10/02 23:30,37.47,,,,149.89,,,,,10/2/17 23:30,0.07
H202014127676     ,2017/10/02 23:45,37.5,,,,150.02,,,,,10/2/17 23:45,0.07
H202014127676     ,2017/10/03 0:00,37.41,,,,149.63,,,,,10/3/17 0:00,0.07
H202014127676     ,2017/10/03 0:15,37.31,,,,149.25,,,,,10/3/17 0:15,0.07
H202014127676     ,2017/10/03 0:30,37.22,,,,148.86,,,,,10/3/17 0:30,0.08
H202014127676     ,2017/10/03 0:45,37.41,,,,149.63,,,,,10/3/17 0:45,0.08
H202014127676     ,2017/10/03 1:00,37.18,,,,148.74,,,,,10/3/17 1:00,0.08
H202014127676     ,2017/10/03 1:15,37.25,,,,148.99,,,,,10/3/17 1:15,0.08
H202014127676     ,2017/10/03 1:30,37.41,,,,149.63,,,,,10/3/17 1:30,0.09
H202014127676     ,2017/10/03 1:45,37.44,,,,149.76,,,,,10/3/17 1:45,0.09
H202014127676     ,2017/10/03 2:00,36.93,,,,147.71,,,,,10/3/17 2:00,0.09
H202014127676     ,2017/10/03 2:15,37.25,,,,148.99,,,,,10/3/17 2:15,0.09
H202014127676     ,2017/10/03 2:30,37.41,,,,149.63,,,,,10/3/17 2:30,0.09
H202014127676     ,2017/10/03 2:45,37.34,,,,149.38,,,,,10/3/17 2:45,0.1
H202014127676     ,2017/10/03 3:00,37.09,,,,148.35,,,,,10/3/17 3:00,0.1
H202014127676     ,2017/10/03 3:15,37.28,,,,149.12,,,,,10/3/17 3:15,0.1
H202014127676     ,2017/10/03 3:30,37.47,,,,149.89,,,,,10/3/17 3:30,0.1
H202014127676     ,2017/10/03 3:45,37.31,,,,149.25,,,,,10/3/17 3:45,0.1
H202014127676     ,2017/10/03 4:00,36.93,,,,147.71,,,,,10/3/17 4:00,0.11
H202014127676     ,2017/10/03 4:15,37.15,,,,148.61,,,,,10/3/17 4:15,0.11
H202014127676     ,2017/10/03 4:30,37.15,,,,148.61,,,,,10/3/17 4:30,0.11
H202014127676     ,2017/10/03 4:45,37.15,,,,148.61,,,,,10/3/17 4:45,0.11
H202014127676     ,2017/10/03 5:00,37.44,,,,149.76,,,,,10/3/17 5:00,0.12
H202014127676     ,2017/10/03 5:15,40.29,,,,161.15,,,,,10/3/17 5:15,0.12
H202014127676     ,2017/10/03 5:30,44.51,,,,178.05,,,,,10/3/17 5:30,0.12
H202014127676     ,2017/10/03 5:45,38.72,,,,154.88,,,,,10/3/17 5:45,0.12
H202014127676     ,2017/10/03 6:00,38.27,,,,153.09,,,,,10/3/17 6:00,0.12
H202014127676     ,2017/10/03 6:15,38.46,,,,153.86,,,,,10/3/17 6:15,0.13
H202014127676     ,2017/10/03 6:30,38.27,,,,153.09,,,,,10/3/17 6:30,0.13
H202014127676     ,2017/10/03 6:45,38.37,,,,153.47,,,,,10/3/17 6:45,0.13
H202014127676     ,2017/10/03 7:00,41.57,,,,166.27,,,,,10/3/17 7:00,0.21
H202014127676     ,2017/10/03 7:15,41.86,,,,167.42,,,,,10/3/17 7:15,0.59
H202014127676     ,2017/10/03 7:30,39.26,,,,157.06,,,,,10/3/17 7:30,0.74
H202014127676     ,2017/10/03 7:45,39.07,,,,156.29,,,,,10/3/17 7:45,0.95
H202014127676     ,2017/10/03 8:00,38.75,,,,155.01,,,,,10/3/17 8:00,1.45
H202014127676     ,2017/10/03 8:15,39.14,,,,156.54,,,,,10/3/17 8:15,1.69
H202014127676     ,2017/10/03 8:30,39.17,,,,156.67,,,,,10/3/17 8:30,2.41
H202014127676     ,2017/10/03 8:45,38.62,,,,154.5,,,,,10/3/17 8:45,2.45
H202014127676     ,2017/10/03 9:00,38.5,,,,153.98,,,,,10/3/17 9:00,3.23
H202014127676     ,2017/10/03 9:15,39.14,,,,156.54,,,,,10/3/17 9:15,3.42
H202014127676     ,2017/10/03 9:30,38.4,,,,153.6,,,,,10/3/17 9:30,3.31
H202014127676     ,2017/10/03 9:45,38.69,,,,154.75,,,,,10/3/17 9:45,3.63
H202014127676     ,2017/10/03 10:00,38.62,,,,154.5,,,,,10/3/17 10:00,4.03
H202014127676     ,2017/10/03 10:15,39.39,,,,157.57,,,,,10/3/17 10:15,5.47
H202014127676     ,2017/10/03 10:30,39.17,,,,156.67,,,,,10/3/17 10:30,5.37
H202014127676     ,2017/10/03 10:45,39.62,,,,158.46,,,,,10/3/17 10:45,5.11
H202014127676     ,2017/10/03 11:00,40,,,,160,,,,,10/3/17 11:00,5.04
H202014127676     ,2017/10/03 11:15,40.19,,,,160.77,,,,,10/3/17 11:15,6.09
H202014127676     ,2017/10/03 11:30,40.51,,,,162.05,,,,,10/3/17 11:30,8.85
H202014127676     ,2017/10/03 11:45,40.54,,,,162.18,,,,,10/3/17 11:45,10.57
H202014127676     ,2017/10/03 12:00,40.13,,,,160.51,,,,,10/3/17 12:00,5.33
H202014127676     ,2017/10/03 12:15,39.1,,,,156.42,,,,,10/3/17 12:15,5.49
H202014127676     ,2017/10/03 12:30,38.02,,,,152.06,,,,,10/3/17 12:30,5.73
H202014127676     ,2017/10/03 12:45,36.22,,,,144.9,,,,,10/3/17 12:45,6.3
H202014127676     ,2017/10/03 13:00,37.06,,,,148.22,,,,,10/3/17 13:00,7.96
H202014127676     ,2017/10/03 13:15,36.45,,,,145.79,,,,,10/3/17 13:15,9.25
H202014127676     ,2017/10/03 13:30,36.8,,,,147.2,,,,,10/3/17 13:30,4.91
H202014127676     ,2017/10/03 13:45,38.78,,,,155.14,,,,,10/3/17 13:45,4.12
H202014127676     ,2017/10/03 14:00,40.06,,,,160.26,,,,,10/3/17 14:00,3.67
H202014127676     ,2017/10/03 14:15,38.5,,,,153.98,,,,,10/3/17 14:15,4.82
H202014127676     ,2017/10/03 14:30,38.08,,,,152.32,,,,,10/3/17 14:30,4.2
H202014127676     ,2017/10/03 14:45,38.21,,,,152.83,,,,,10/3/17 14:45,3.97
H202014127676     ,2017/10/03 15:00,38.66,,,,154.62,,,,,10/3/17 15:00,3.53
H202014127676     ,2017/10/03 15:15,39.84,,,,159.36,,,,,10/3/17 15:15,3.17
H202014127676     ,2017/10/03 15:30,41.15,,,,164.61,,,,,10/3/17 15:30,3.53
H202014127676     ,2017/10/03 15:45,41.12,,,,164.48,,,,,10/3/17 15:45,3.91
H202014127676     ,2017/10/03 16:00,40.74,,,,162.94,,,,,10/3/17 16:00,3.02
H202014127676     ,2017/10/03 16:15,40.19,,,,160.77,,,,,10/3/17 16:15,3.01
H202014127676     ,2017/10/03 16:30,40.7,,,,162.82,,,,,10/3/17 16:30,2.22
H202014127676     ,2017/10/03 16:45,40.26,,,,161.02,,,,,10/3/17 16:45,2.24
H202014127676     ,2017/10/03 17:00,40.42,,,,161.66,,,,,10/3/17 17:00,1.56
H202014127676     ,2017/10/03 17:15,40.16,,,,160.64,,,,,10/3/17 17:15,1.63
H202014127676     ,2017/10/03 17:30,39.74,,,,158.98,,,,,10/3/17 17:30,0.7
H202014127676     ,2017/10/03 17:45,39.81,,,,159.23,,,,,10/3/17 17:45,0.22
H202014127676     ,2017/10/03 18:00,39.81,,,,159.23,,,,,10/3/17 18:00,0.14
H202014127676     ,2017/10/03 18:15,39.33,,,,157.31,,,,,10/3/17 18:15,0.02
H202014127676     ,2017/10/03 18:30,39.42,,,,157.7,,,,,10/3/17 18:30,0.02
H202014127676     ,2017/10/03 18:45,39.23,,,,156.93,,,,,10/3/17 18:45,0.02
H202014127676     ,2017/10/03 19:00,39.23,,,,156.93,,,,,10/3/17 19:00,0.02
H202014127676     ,2017/10/03 19:15,39.14,,,,156.54,,,,,10/3/17 19:15,0.02
H202014127676     ,2017/10/03 19:30,38.75,,,,155.01,,,,,10/3/17 19:30,0.03
H202014127676     ,2017/10/03 19:45,38.88,,,,155.52,,,,,10/3/17 19:45,0.03
H202014127676     ,2017/10/03 20:00,38.66,,,,154.62,,,,,10/3/17 20:00,0.03
H202014127676     ,2017/10/03 20:15,38.69,,,,154.75,,,,,10/3/17 20:15,0.03
H202014127676     ,2017/10/03 20:30,38.72,,,,154.88,,,,,10/3/17 20:30,0.04
H202014127676     ,2017/10/03 20:45,38.85,,,,155.39,,,,,10/3/17 20:45,0.04
H202014127676     ,2017/10/03 21:00,38.3,,,,153.22,,,,,10/3/17 21:00,0.04
H202014127676     ,2017/10/03 21:15,38.24,,,,152.96,,,,,10/3/17 21:15,0.04
H202014127676     ,2017/10/03 21:30,38.5,,,,153.98,,,,,10/3/17 21:30,0.04
H202014127676     ,2017/10/03 21:45,38.85,,,,155.39,,,,,10/3/17 21:45,0.05
H202014127676     ,2017/10/03 22:00,39.14,,,,156.54,,,,,10/3/17 22:00,0.05
H202014127676     ,2017/10/03 22:15,39.07,,,,156.29,,,,,10/3/17 22:15,0.05
H202014127676     ,2017/10/03 22:30,39.01,,,,156.03,,,,,10/3/17 22:30,0.05
H202014127676     ,2017/10/03 22:45,38.88,,,,155.52,,,,,10/3/17 22:45,0.06
H202014127676     ,2017/10/03 23:00,38.94,,,,155.78,,,,,10/3/17 23:00,0.06
H202014127676     ,2017/10/03 23:15,39.07,,,,156.29,,,,,10/3/17 23:15,0.06
H202014127676     ,2017/10/03 23:30,38.94,,,,155.78,,,,,10/3/17 23:30,0.06
H202014127676     ,2017/10/03 23:45,38.62,,,,154.5,,,,,10/3/17 23:45,0.06
H202014127676     ,2017/10/04 0:00,38.62,,,,154.5,,,,,10/4/17 0:00,0.07
